id,name,category,description,price,datetime,location,image_url,url
evt_1358010990429,Calligraphy 1hr class @ the heart of Kyoto,Culture,Learn the art of beautiful writing in the heart of Kyoto with our Calligraphy class - come join us for a creative and cultural experience!,"\u00a55,000",2025-07-15T11:00:00+09:00 → 2025-07-15T12:00:00+09:00,"Location Gojo Paradiso 五条パラディソ Gojo Paradiso 五条パラディソ Kyoto, Kyoto 600-8116 Get directions",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F772582529%2F2077454331673%2F1%2Foriginal.20240521-072847?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C549%2C5470%2C2735&s=b35f2236fb1d2c895c51c3b8e7ee232c,https://www.eventbrite.com.au/e/calligraphy-1hr-class-the-heart-of-kyoto-tickets-1358010990429
evt_1358009696559,Calligraphy 2hrs class @ the heart of Kyoto,Culture,Learn the art of beautiful writing in the heart of Kyoto with our Calligraphy class - come join us for a creative and cultural experience!,"\u00a58,500",2025-07-08T12:00:00+09:00 → 2025-07-08T14:00:00+09:00,"Location Gojo Paradiso 五条パラディソ Gojo Paradiso 五条パラディソ Kyoto, Kyoto 600-8116 Get directions",https://cdn.evbuc.com/images/929305043/2077454331673/1/logo.20250107-052604,https://www.eventbrite.com.au/e/calligraphy-2hrs-class-the-heart-of-kyoto-tickets-1358009696559
evt_1440260882069,Calligraphy with Meditation 1.5hrs class @ the heart of Kyoto,Culture,Experience traditional culture while feeling Japan's aesthetic sense through calligraphy. Face yourself and enjoy the tranquility.,"\u00a57,000",2025-07-18T11:30:00+09:00 → 2025-07-18T13:00:00+09:00,"Location Gojo Paradiso 五条パラディソ Gojo Paradiso 五条パラディソ Kyoto, Kyoto 600-8116 Get directions",https://cdn.evbuc.com/images/1061725983/2077454331673/1/logo.20250627-053046,https://www.eventbrite.com.au/e/calligraphy-with-meditation-15hrs-class-the-heart-of-kyoto-registration-1440260882069
evt_1358031110609,"Japanese Instrument ""Koto"" 1.5 hours class @ the heart of Kyoto",Culture,"Immerse yourself in Japan's rich culture! You'll get the unique opportunity to learn to play the traditional Japanese instrument, Koto.","\u00a55,000",2025-07-16T10:30:00+09:00 → 2025-07-16T12:00:00+09:00,"Location Gojo Paradiso 五条パラディソ Gojo Paradiso 五条パラディソ Kyoto, Kyoto 600-8116 Get directions",https://cdn.evbuc.com/images/1025971203/2077454331673/1/logo.20250508-025437,https://www.eventbrite.com.au/e/japanese-instrument-koto-15-hours-class-the-heart-of-kyoto-registration-1358031110609
evt_1459049358909,Bem Estar com Você,Culture,Bem Estar com Você - Dia13 de julho você terá uma experiência imersiva e transformadora voltada ao desenvolvimento pessoal e profissional!,Gratuito,2025-07-13T10:30:00+09:00 → 2025-07-13T15:30:00+09:00,"Localização Hisaihigashitakatomachi 246 Tsu, Mie 514-1136 Como chegar",https://cdn.evbuc.com/images/1065728213/2822307846161/1/logo.20250703-042047,https://www.eventbrite.com.br/e/bem-estar-com-voce-tickets-1459049358909
evt_1451519637309,１日 気功＆マインドフルネス リトリート,Culture,このイベントは、１日中気功とマインドフルネスに集中してリフレッシュし、リラックスする贅沢な機会です。定員あり。,"\u00a510,599",2025-07-21T09:00:00+09:00 → 2025-07-21T17:00:00+09:00,"Location Maniji 624 Kakuji Tottori, Tottori 680-0003 Get directions",https://cdn.evbuc.com/images/1064899773/3129872812/1/logo.20250702-065438,https://www.eventbrite.com/e/1-registration-1451519637309
evt_1247707920979,100 Cities Project: Fighting Loneliness | Dinner with Strangers (69),Cuisine,"City life can be lonely, especially when you're surrounded by so many people. Take the opportunity to meet others hoping for new connections",$12.51,2025-02-24T20:00:00+09:00 → 2025-12-22T22:00:00+09:00,"Location Osaka Osaka #１F Osaka, Osaka 541-0057 Get directions",https://cdn.evbuc.com/images/957710943/2590974569761/1/logo.20250211-044105,https://www.eventbrite.com/e/100-cities-project-fighting-loneliness-dinner-with-strangers-69-tickets-1247707920979
evt_1247708592989,100 Cities Project: Fighting Loneliness | Dinner with Strangers (70),Cuisine,"City life can be lonely, especially when you're surrounded by so many people. Take the opportunity to meet others hoping for new connections",$12.51,2025-02-24T20:00:00+09:00 → 2025-12-22T22:00:00+09:00,"Location Osaka Osaka #１F Osaka, Osaka 541-0057 Get directions",https://cdn.evbuc.com/images/957710943/2590974569761/1/logo.20250211-044105,https://www.eventbrite.com/e/100-cities-project-fighting-loneliness-dinner-with-strangers-70-tickets-1247708592989
evt_1262278291349,"10th International Conference on Systems, Control and Communications -ICSCC",Culture,"Join us at the 10th ICSCC for cutting-edge discussions on systems, control, and communications!",$344,2025-12-19T10:00:00+09:00 → 2025-12-21T18:00:00+09:00,"Location 名古屋梅尔帕尔克酒店 Hotel Mielparque Nagoya Nagoya, Aichi 461-0004 Get directions",https://cdn.evbuc.com/images/1029484173/183335629407/1/logo.20250513-091843,https://www.eventbrite.com/e/10th-international-conference-on-systems-control-and-communications-icscc-tickets-1262278291349
evt_1387458859799,11th International Conference on Chemical and Food Engineering (ICCFE 2026),Cuisine,Get ready for a mind-blowing experience at ICCFE 2026 where chemical and food engineering collide in the most fascinating ways!,$385.99,2026-04-03T10:00:00+09:00 → 2026-04-06T18:00:00+09:00,"Location 大阪公立大学 杉本校區 3-3-138 Sugimoto Sumiyoshi-ku, Osaka-shi, 558-8585, Japan Osaka, Osaka 558-8585 Get directions",https://cdn.evbuc.com/images/1041380413/272912231882/1/logo.20250529-092250,https://www.eventbrite.com/e/11th-international-conference-on-chemical-and-food-engineering-iccfe-2026-tickets-1387458859799
evt_1440359456909,"12th International Conference on Control, Automation and Robotics ICCAR'26",Culture,Get ready to dive deep into the world of robotics and automation at ICCAR'25 - where innovation meets technology!,$396.66,2026-04-08T10:00:00+09:00 → 2026-04-10T18:00:00+09:00,"Location Aichi Industry & Labor Center (WINC AICHI) 4-4-38 Meieki, Nakamura-ku, Nagoya, Aichi 450-0002, Japan Nagoya, Aichi 450-0002 Get directions",https://cdn.evbuc.com/images/1061782913/293320802810/1/logo.20250627-084614,https://www.eventbrite.com/e/12th-international-conference-on-control-automation-and-robotics-iccar25-tickets-1440359456909
evt_1387430374599,13th International Conference on Chemical and Biological Sciences ICCBS'26,Culture,Get ready to dive deep into the world of chemical and biological sciences at the 13th International Conference ICCBS'26!,$396.66,2026-04-03T10:00:00+09:00 → 2026-04-06T18:00:00+09:00,"Location 大阪公立大学 杉本校區 3-3-138 Sugimoto Sumiyoshi-ku, Osaka-shi, 558-8585, Japan Osaka, Osaka 558-8585 Get directions",https://cdn.evbuc.com/images/1041376023/272912231882/1/logo.20250529-091248,https://www.eventbrite.com/e/13th-international-conference-on-chemical-and-biological-sciences-iccbs26-tickets-1387430374599
evt_1273436786709,2nd Intl. Conf. on Artificial Intelligence and Teacher Education ICAITE'25,Culture; Cuisine,Join us at ICAITE'25 to explore how AI is transforming teacher education - don't miss out!,$344,2025-12-07T10:00:00+09:00 → 2025-12-09T18:00:00+09:00,"Location 京都八条口大和ROYNET酒店 9-2 Higashikujo Kitakarasumacho, Minami Ward, Kyoto, 601-8017, Japan Kyoto, Kyoto 601-8017 Get directions",https://cdn.evbuc.com/images/977739983/183335629407/1/logo.20250307-073757,https://www.eventbrite.com/e/2nd-intl-conf-on-artificial-intelligence-and-teacher-education-icaite25-tickets-1273436786709
evt_1280478980099,3rd Intl. Conf. on Artificial Intelligence and Power Engineering -AIPE 2025,Culture,Join us at the 3rd AIPE 2025 to explore the latest advancements in AI and power Engineering!,$353.98,2025-10-28T10:00:00+09:00 → 2025-10-31T18:00:00+09:00,"Location 奈良市 Nara 奈良市Nara, 奈良县 630-8025 Get directions",https://cdn.evbuc.com/images/981582193/272912231882/1/logo.20250312-070236,https://www.eventbrite.com/e/3rd-intl-conf-on-artificial-intelligence-and-power-engineering-aipe-2025-tickets-1280478980099
evt_1273450046369,5th Intl. Conf. on Advanced Enterprise Information System AEIS 2025,Culture,Join us at the 5th Intl. Conf. on Advanced Enterprise Information System AEIS 2025 to explore cutting-edge tech for businesses!,$333.63,2025-12-07T10:00:00+09:00 → 2025-12-09T18:00:00+09:00,"Location 京都八条口大和ROYNET酒店 9-2 Higashikujo Kitakarasumacho, Minami Ward, Kyoto, 601-8017, Japan Kyoto, Kyoto 601-8017 Get directions",https://cdn.evbuc.com/images/977741523/183335629407/1/logo.20250307-074442,https://www.eventbrite.com/e/5th-intl-conf-on-advanced-enterprise-information-system-aeis-2025-tickets-1273450046369
evt_1300341870539,8th International Conference on BioMedical Technology (ICBMT 2026),Culture,Join us at ICBMT 2026 for the latest advancements in biomedical technology!,$333.63,2026-01-16T10:00:00+09:00 → 2026-01-19T18:00:00+09:00,"Location Integrated Research Center, Kobe University 7 Chome-1-48 Minatojima Minamimachi, Chuo Ward, Kobe, Hyogo 650-0047 Japan Kobe, Hyogo 650-0047 Get directions",https://cdn.evbuc.com/images/991949843/183815772042/1/logo.20250325-083834,https://www.eventbrite.com/e/8th-international-conference-on-biomedical-technology-icbmt-2026-tickets-1300341870539
evt_1430072769149,9th International Conference on Software and e-Business (ICSeB 2025),Culture,Get ready to dive into the latest trends in software and e-business at ICSeB 2025 - it's where innovation meets opportunity!,$468.44,2025-12-05T10:00:00+09:00 → 2025-12-07T18:00:00+09:00,"Location 京都橘大学 34 Yamada-cho Oyake, Yamashina-ku, Kyoto 607-8175, Japan Kyoto, 607-8175 Get directions",https://cdn.evbuc.com/images/1059246073/271124313452/1/logo.20250624-072935,https://www.eventbrite.com/e/9th-international-conference-on-software-and-e-business-icseb-2025-tickets-1430072769149
evt_1448286687469,"August  8, 10:00",Culture,Join us for a fun and informative tour of Nagoya University campus!,Free,Permanent event,"Location 名古屋大学 東山キャンパス 名古屋大学 東山キャンパス 名古屋市, 愛知県 464-8601 Get directions",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F804170579%2F2226438853833%2F1%2Foriginal.20240709-081824?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C373%2C5568%2C2784&s=436182c87c12ae8a5d1570070b213ac2,https://www.eventbrite.com/e/august-8-1000-tickets-1448286687469
evt_1207697328219,Awesome Scavenger Hunt! - Kyoto Scavenger Hunt,Culture,"More information and scavenger hunts by Let's Roam: 
https://www.letsroam.com/scavenger_hunt/downtown-kyoto-kyoto-scavenger-hunt",$14.99,2025-01-19T08:00:00+09:00 → 2026-01-18T17:00:00+09:00,"Location ＣＯＦＦＥＥ ＳＨＯＰ ＮＯＥＮ ＣＯＦＦＥＥ ＳＨＯＰ ＮＯＥＮ Kyoto, Kyoto 605-0074 Get directions",https://cdn.evbuc.com/images/938485933/313035400695/1/logo.20250117-184128,https://www.eventbrite.com/e/awesome-scavenger-hunt-kyoto-scavenger-hunt-tickets-1207697328219
evt_1432676476909,Brazil Monday Movie Night,Culture,VITÓRIA	 114 min | 2025 | Classification: 16+  Portuguese language / Japanese subtitles,Free,2025-07-14T19:00:00+09:00 → 2025-07-14T21:00:00+09:00,—,https://cdn.evbuc.com/images/1060897013/2816057387091/1/logo.20250626-040908,https://www.eventbrite.com/e/brazil-monday-movie-night-tickets-1432676476909
evt_1422943475239,Dinner with Entrepreneurs | Osaka,Cuisine,"Join us for a cozy dinner with entrepreneurs to network, share experiences, and make new connections!",$17.85,2025-06-27T19:00:00+09:00 → 2025-08-22T21:00:00+09:00,"Location zojirushisyokudo 542-0076 #6F Osaka, Osaka 542-0076 Get directions",https://cdn.evbuc.com/images/984956873/2665070848231/1/logo.20250316-163506,https://www.eventbrite.com/e/dinner-with-entrepreneurs-osaka-tickets-1422943475239
evt_1076594335639,Exciting & Fun Language Exchange British pub Umeda楽しい言語交換­,Nightlife,"Practice English / Japanese you have learned
Improve your English / Japanese skills
Learn useful English / Japanese phrases",Free,2024-11-14T19:30:00+09:00 → 2026-01-01T22:00:00+09:00,"Location HUB梅田茶屋町アプローズ店 茶屋町19-19 #Ｂ１Ｆ 大阪市, 大阪府 530-0013 Get directions",https://cdn.evbuc.com/images/979430443/421848723163/1/logo.20250310-040049,https://www.eventbrite.com/e/exciting-fun-language-exchange-british-pub-umeda-tickets-1076594335639
evt_1277408606529,Exciting & Fun Language Exchange British pub Umeda楽しい言語交換­Meetu,Nightlife,"Practice English / Japanese you have learned
Improve your English / Japanese skills
Learn useful English / Japanese phrases",Free,2025-03-10T19:30:00+09:00 → 2027-12-27T21:30:00+09:00,"Location HUB梅田茶屋町店 北区茶屋町３−４ #２Ｆ 大阪市, 大阪府 530-0013 Get directions",https://cdn.evbuc.com/images/979430443/421848723163/1/logo.20250310-040049,https://www.eventbrite.com/e/exciting-fun-language-exchange-british-pub-umedameetu-tickets-1277408606529
evt_1204285683899,,Culture,,Free,Permanent event,—,,https://www.eventbrite.com/e/final-fridays-in-kyoto-dinner-with-strangers-tickets-1204285683899
evt_1077575209459,Friending Meetup International Party30's 20'sAllUCanDrink Shinsaibash,Culture; Nightlife,"Interact with people in their 20s and 30s who live in or travel to Kansai
Get to know each other more easily with our original profile card",Free,2024-11-15T19:30:00+09:00 → 2026-01-02T22:00:00+09:00,"Location Cafe&Bar go garage 東心斎橋１丁目１８−６ 中央区 大阪市, 大阪府 542-0083 Get directions",https://cdn.evbuc.com/images/894885713/421848723163/1/logo.20241108-161236,https://www.eventbrite.com/e/friending-meetup-international-party30s-20sallucandrink-shinsaibash-tickets-1077575209459
evt_1077567987859,Hangout Shuffle International PartyAllWeCanDrink& FunChat Shinsaibash,Culture; Nightlife,"By the shuffle system, you can meet and talk with many people in a party
Meet international people and locals with open-minded in Tokyo
Play",Free,2024-11-09T19:30:00+09:00 → 2026-01-03T22:00:00+09:00,"Location Cafe&Bar go garage 東心斎橋１丁目１８−６ 中央区 大阪市, 大阪府 542-0083 Get directions",https://cdn.evbuc.com/images/894869253/421848723163/1/logo.20241108-155427,https://www.eventbrite.com/e/hangout-shuffle-international-partyallwecandrink-funchat-shinsaibash-tickets-1077567987859
evt_1414590360849,"International Conference on Big Data, IoT and Machine Learning",Culture,"International Conference on Big Data, IoT and Machine Learning (ICBIoTML-2025) Osaka, Japan during 02nd Aug 2025.",$375.32,2025-08-02T10:00:00+09:00 → 2025-08-02T14:30:00+09:00,"Location Canopy by Hilton Osaka Umeda Osaka Prefecture, Osaka, Osaka, Grand Green Osaka North Tower 6-38 Ofukacho, Kita-ku, Japan Osaka Prefecture, Osaka, Osaka, Grand Green Osaka North Tower 6-38 Ofukacho, Kita-ku, Japan Osaka, Osaka 530-0011 Get directions",https://cdn.evbuc.com/images/1053674603/577896353393/1/logo.20250616-073039,https://www.eventbrite.com/e/international-conference-on-big-data-iot-and-machine-learning-tickets-1414590360849
evt_1380219316129,International Conference on Economics and Business Management (ICEBM) -2025,Nature,"ICEBM 2025 in Osaka on July 8–9 unites experts in economics, tech, and management for global academic exchange.",From $406.26,2025-07-08T10:00:00+09:00 → 2025-07-09T18:00:00+09:00,"Location Hearton Hotel Kita-Umeda 3-12-10 Toyosaki, Kita-ku Osaka-shi, Osaka 531-0072, Japan Osaka, Osaka 531-0072 Get directions",https://cdn.evbuc.com/images/1038782623/334384149117/1/logo.20250526-052722,https://www.eventbrite.com/e/international-conference-on-economics-and-business-management-icebm-2025-tickets-1380219316129
evt_407490865147,ISTQB® Advanced Level Test Manager Training Course (3 days) - Osaka,Culture,"ISTQB® ADVANCED LEVEL TEST MANAGER 
The aim of this course is to provide you with the knowledge and skills to pass the exam","From \u00a5192,372",2022-09-05T09:00:00+09:00 → 2028-02-07T17:00:00+09:00,"Location OpenOffice - Osaka, Keihan Yodoyabashi (Open Offiice) Regus 大阪市, 大阪府 541-0041 Get directions",https://cdn.evbuc.com/images/1031571073/195639312499/1/logo.20250515-121947,https://www.eventbrite.com/e/istqb-advanced-level-test-manager-training-course-3-days-osaka-tickets-407490865147
evt_407498758757,ISTQB® Foundation Training Course for your Testing team - Osaka,Cuisine,"ISTQB® FOUNDATION TRAINING COURSE FOR THE TEAM 
The aim of this course is to provide you with the knowledge and skills to pass an exam certi","\u00a5158,985",2022-09-05T09:00:00+09:00 → 2028-02-14T17:00:00+09:00,"Location OpenOffice - Osaka, Keihan Yodoyabashi (Open Offiice) Regus 大阪市, 大阪府 541-0041 Get directions",https://cdn.evbuc.com/images/1032303533/195639312499/1/logo.20250516-083308,https://www.eventbrite.com/e/istqb-foundation-training-course-for-your-testing-team-osaka-tickets-407498758757
evt_1449792431189,"Kyoto Creators Circle: Connect, Share, Build",Culture,"Connect with Kyoto-based creatives & entrepreneurs to share ideas, build community, and grow together—no pitches, just real talk.",Free,2025-07-04T15:00:00+09:00 → 2025-07-04T17:00:00+09:00,"Location Little by Little｜アレパが食べられるカフェ・レンタルスペース・アトリエ・ギャラリー Nakagyo Ward, Kamihonnojimaecho, 476 TATビルディング B1F Kyoto, 604-0925 Get directions",https://cdn.evbuc.com/images/1064160083/220021379552/1/logo.20250701-123401,https://www.eventbrite.com/e/kyoto-creators-circle-connect-share-build-tickets-1449792431189
evt_963972296087,,Culture,,Free,Permanent event,—,,https://www.eventbrite.com/e/kyoto-leadership-secrets-10-covert-job-interview-questions-you-must-use-tickets-963972296087
evt_979615455197,,Culture,,Free,Permanent event,—,,https://www.eventbrite.com/e/kyoto-time-management-secrets-for-busy-professionals-just-like-you-tickets-979615455197
evt_1342819612609,Lead Like Low,Culture,"Girl Scout Cadettes, Seniors, and Ambassadors are invited to a weekend full of leadership development, friendship, and cultural exploration!",From $106,2025-10-10T17:00:00+09:00 → 2025-10-12T15:00:00+09:00,"Location Utano Youth Hostel Japan, 〒616-8191 Kyoto, Ukyo Ward, Uzumasa Nakayamacho, 29−29 京都／宇多野ユースホステル Kyoto, Kyoto 616-8191 Get directions",https://cdn.evbuc.com/images/1015901503/274897734789/1/logo.20250424-135657,https://www.eventbrite.com/e/lead-like-low-tickets-1342819612609
evt_949836856607,,Culture,,Free,Permanent event,—,,https://www.eventbrite.com/e/melbet-promo-code-japan-tickets-949836856607
evt_949838752277,,Culture,,Free,Permanent event,—,,https://www.eventbrite.com/e/melbet-promo-code-liberia-tickets-949838752277
evt_1349923249779,NambaAdventure All Night Clubbing PartyFREE/Drink  Giraffe Club,Adventure; Culture; Nightlife,NambaAdventure All Night Clubbing PartyFREE/Drink  Giraffe Club,Free,2025-05-03T22:00:00+09:00 → 2026-04-01T04:00:00+09:00,"Location Nightclub&Entertainment【GIRAFFE Japan】（ジラフジャパン）Osaka 5F	   1-7-21  Dotonbori Chuo ku 大阪市, 大阪府 542-0071 Get directions",https://cdn.evbuc.com/images/1021915813/421848723163/1/logo.20250502-153152,https://www.eventbrite.com/e/nambaadventure-all-night-clubbing-partyfreedrink-giraffe-club-tickets-1349923249779
evt_1349645438839,Osaka Hang out Night Clubbing PartyALL U CAN DRINKVoyager Friending Meetup,Culture; Nightlife,Hang out Night Clubbing PartyALL U CAN DRINKVoyager Friending Meetup Osaka,Free,2025-05-02T22:00:00+09:00 → 2026-04-01T02:30:00+09:00,"Location Voyager Stand 6F	 2-3-29 Dotonbori chuo ku 大阪市, 大阪府 542-0071 Get directions",https://cdn.evbuc.com/images/1021706843/421848723163/1/logo.20250502-102115,https://www.eventbrite.com/e/osaka-hang-out-night-clubbing-partyall-u-can-drinkvoyager-friending-meetup-tickets-1349645438839
evt_1076451237629,"Osaka Local International""Solo attend"" Party一人参加Meetup @ Shinsaibashi B",Culture; Nightlife,"Solo going party ! Join and have fun chatting with others, even if you come alone
Interact with locals and travelers
Meet international ppl",Free,2024-11-13T19:30:00+09:00 → 2025-12-31T22:00:00+09:00,"Location Cafe&Bar go garage 東心斎橋１丁目１８−６ 中央区 大阪市, 大阪府 542-0083 Get directions",https://cdn.evbuc.com/images/893794563/421848723163/1/logo.20241107-100557,https://www.eventbrite.com/e/osaka-local-internationalsolo-attend-partymeetup-shinsaibashi-b-tickets-1076451237629
evt_1077586092009,"Osaka Local International""Solo attend"" Party一人参加Meetup @ Shinsaibashi",Culture; Nightlife,"・You don't have to worry about attending the party alone if you are shy.
・Most people come to the party alone and make friends easily becaus",Free,2024-11-10T17:00:00+09:00 → 2026-01-04T19:30:00+09:00,"Location Cafe&Bar go garage 東心斎橋１丁目１８−６ 中央区 大阪市, 大阪府 542-0083 Get directions",https://cdn.evbuc.com/images/894902533/421848723163/1/logo.20241108-163029,https://www.eventbrite.com/e/osaka-local-internationalsolo-attend-partymeetup-shinsaibashi-tickets-1077586092009
evt_1449025527359,Pearl Talk: A Storytelling Jewelry Experience in Kyoto,History,"Discover the history of Biwa pearls, reflect on what jewelry means to you, and design a piece that tells your story.",Free,2025-07-11T15:00:00+09:00 → 2025-07-11T17:00:00+09:00,"Location Little by Little｜アレパが食べられるカフェ・レンタルスペース・アトリエ・ギャラリー Nakagyo Ward, Kamihonnojimaecho, 476 TATビルディング B1F Kyoto, 604-0925 Get directions",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1064054733%2F220021379552%2F1%2Foriginal.20250701-091037?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C131%2C1170%2C585&s=c52ec14f71074d1533e05a111e4bfa41,https://www.eventbrite.com/e/pearl-talk-a-storytelling-jewelry-experience-in-kyoto-tickets-1449025527359
evt_1342255946669,Plug and Play × 京都リサーチパーク共催 スタートアップピッチイベント,Culture,Plug and Play Japanと京都リサーチパークによる共催イベントです。両社のスタートアップ支援に関する取り組み共有や、国内外において最先端技術を開発するディープテック系スタートアップ10社以上のピッチを行います。,Free,2025-07-18T15:00:00+09:00 → 2025-07-18T18:30:00+09:00,"Location 京都リサーチパーク4号館2階ルーム２AB 京都市下京区 中堂寺粟田町93番地 京都市, 京都府 600-8815 Get directions",https://cdn.evbuc.com/images/1052807903/308670169486/1/logo.20250613-205122,https://www.eventbrite.com/e/plug-and-play-tickets-1342255946669
evt_1413555415299,Process Improvement and Documentation,Culture,"Join for FREE!
Are you looking to streamline workflows, reduce inefficiencies, and enhance operational success? Join this session to learn",Free,2025-07-26T14:00:00+09:00 → 2025-07-26T15:00:00+09:00,"Location コワーキングスペース The DECK （ザ デッキ）Coworking Minamihonmachi 2-1-1 #1階 Osaka, Osaka 541-0054 Get directions",https://cdn.evbuc.com/images/1053303413/62300156609/1/logo.20250615-065105,https://www.eventbrite.com/e/process-improvement-and-documentation-tickets-1413555415299
evt_1426708967929,Reset Your Visibility Strategy and Start Getting Paid for Your Expertise,Culture,"Visibility isn't your problem, strategy is. Reset your brand for income, clarity & authority in one session.",$297,2025-06-24T09:00:00+09:00 → 2025-09-30T20:00:00+09:00,"Location I am a Powerhouse Circle 123 Powerhouse Osaka, 535-8585 Get directions",https://cdn.evbuc.com/images/1058467703/2704045776231/1/logo.20250623-095043,https://www.eventbrite.com/e/reset-your-visibility-strategy-and-start-getting-paid-for-your-expertise-tickets-1426708967929
evt_1450683235609,Sneaker Con Test Event 2025,Culture,"SNEAKER CON ATLANTA JUNE 28, 2025 VENDOR PACKAGE LOADIN TIMES 7AM - 11AM Tickets Expire blah",Free,2025-07-26T07:00:00-04:00 → 2025-07-26T11:00:00-04:00,"Location INTEX OSAKA 1 Chome-5-102 Nankokita, Suminoe Ward Abeno-ku, Ōsaka-fu 559-0034 Get directions",https://cdn.evbstatic.com/s3-build/prod/1983774-rc2025-07-02_20.04-py27-1d5b91e/django/images/logos/eb_orange_on_white_1200x630.png,https://www.eventbrite.com/e/sneaker-con-test-event-2025-tickets-1450683235609
evt_1417891113489,TECHNO CARTEL,Culture; Nightlife,"Out of the smoke and darkness, the sound hits.
This isn't just a party ,it's the rise of a new culture: TECHNO CARTEL","\u00a52,000",2025-08-08T22:00:00+09:00 → 2025-08-08T23:59:00+09:00,"Location YE LAI XiANG B1-B, New American Plaza Building, 1-16-12 Nishishinsaibashi #B1-B Osaka-shi, Osaka 542-0086 Get directions",https://cdn.evbuc.com/images/1055440453/2808334452341/1/logo.20250618-033107,https://www.eventbrite.com/e/techno-cartel-tickets-1417891113489
evt_1317072181349,The 1st International Conference on Innovation Structure and Resilient City,Culture,Join us at the 1st International Conference on Innovation Structure and Resilient City to explore cutting-edge ideas for building stronger a,Free,2025-09-27T09:00:00+09:00 → 2025-09-27T18:00:00+09:00,"Location Nagoya, Aichi, Japan ANA Crowne Plaza Hotel Grand Court Nagoya, an IHG Hotel Nagoya, Aichi 465-0025 Get directions",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1003543303%2F2717174468241%2F1%2Foriginal.png?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C940%2C470&s=6489fb0d6dbfee04440cfcb8a2027e13,https://www.eventbrite.com/e/the-1st-international-conference-on-innovation-structure-and-resilient-city-tickets-1317072181349
evt_1077324860659,Welcome Osaka Pub Crawlfree Shot & Fun Chat 2-4 Stores 大阪はしご酒 国際交流,Culture; Nightlife; Cuisine,"Explore Osaka's most vibrant district
Visit 3-5 local pubs to try Japanese drinks such as sake, plum wine, whisky soda and craft beer
Unlimi",Free,2024-11-15T19:00:00+09:00 → 2026-01-02T22:00:00+09:00,"Location HUB心斎橋店 心斎橋筋２丁目６−１４ 中央区 大阪市, 大阪府 542-0085 Get directions",https://cdn.evbuc.com/images/894728673/421848723163/1/logo.20241108-121938,https://www.eventbrite.com/e/welcome-osaka-pub-crawlfree-shot-fun-chat-2-4-stores-tickets-1077324860659
evt_1048557893887,World Summit and Expo on 3D Optical Materials and 2D Photonics Material and,Shopping,"Join us in Bern, Switzerland, on Oct 13–14, 2025, for the 3D Optical & 2D Photonic Materials Summit. Connect, innovate, and shape the future",From $795,2025-10-13T09:00:00+09:00 → 2025-10-13T18:00:00+09:00,"Location Osaka Metropolitan University - Sugimoto Campus 3 Chome-3-138 Sugimoto Osaka, Osaka 558-8585 Get directions",https://cdn.evbuc.com/images/875693929/2400934492453/1/logo.20241016-065411,https://www.eventbrite.com/e/world-summit-and-expo-on-3d-optical-materials-and-2d-photonics-material-and-tickets-1048557893887
evt_1111006182399,zglobalsolution,Culture,"Join us at zglobalsolution for a day of networking, learning, and innovation in the global business world!",Free,2025-08-24T10:00:00+09:00 → 2025-08-24T12:00:00+09:00,"Location Amagasaki 1-15-21 Higashinanamatsuc Amagasaki, Hyōgo 662-0000 Get directions",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F915399283%2F2541416816941%2F1%2Foriginal.png?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C940%2C470&s=8fbe9923c6d20d1caac2735513d42b9f,https://www.eventbrite.com/e/zglobalsolution-tickets-1111006182399
